,name,date,county,size,%_contained,high_temp,low_temp,high_humidity,low_humidity,wind_speed,wind_gust,fuel_temp,fuel_moisture,max_radiation,peak_wind_direction
86,Lariat Fire,7/11/2017,Santa Clara,101,100,89.8,62.2,67.2,23.2,0.9669000000000012,2.5026,22.877900000000018,11.445999999999994,348.47,130.45
87,Bally Fire,9/3/2017,Santa Clara,100,100,107.8,82.2,27.6,12.0,0.832800000000001,2.275400000000001,27.611700000000013,8.259999999999998,204.77,144.33
88,Tilton Fire,8/11/2017,Santa Clara,100,100,82.8,58.0,89.4,35.6,1.2759000000000018,3.0701999999999994,21.699999999999996,11.705,291.72,146.3
89,Ranch Fire,6/29/2017,Santa Clara,85,100,78.6,54.2,83.2,33.2,1.2171000000000018,2.8781999999999988,20.360899999999994,11.831999999999995,355.95,130.66
90,Castro Fire,7/23/2017,Santa Clara,78,100,94.6,68.4,53.8,18.0,1.0251000000000017,2.6280000000000006,23.883600000000005,10.066000000000003,326.91,117.64
91,Felipe Fire,7/10/2017,Santa Clara,70,100,92.4,65.0,63.2,20.0,0.9488000000000011,2.4401000000000006,22.6778,11.171,345.46,124.74
92,Weller Fire,7/26/2017,Santa Clara,51,100,81.8,55.6,90.6,37.8,0.9623000000000013,2.3109000000000015,22.9558,11.161,325.23,113.37
93,Quimby Fire,6/21/2017,Santa Clara,54,100,93.6,61.0,81.6,33.6,0.9764000000000016,2.4991000000000008,25.111200000000007,10.446,329.7,101.93
95,Whittier Fire,7/8/2017,Santa Barbara,18430,100,78.13333333333334,58.06666666666667,44.266666666666666,17.2,1.1588000000000023,3.825899999999998,30.1056,4.905000000000002,272.45,201.58
96,Rucker Fire,9/29/2017,Santa Barbara,444,100,70.66666666666667,52.4,44.2,15.6,1.6496000000000015,5.6727,21.878200000000007,4.951000000000001,228.01,121.58
97,Wasioja Fire,5/20/2017,Santa Barbara,190,100,63.06666666666667,45.6,31.6,12.866666666666667,1.363600000000002,4.193200000000004,25.811,5.320999999999998,343.8,186.09
