,yes_no_fire,date,fire_index,fire_county,temp1,hum1,wind_spd1,wind_gust1,fuel_temp1,fuel_moist1,max_rad1,pk_wind_dir1,temp2,hum2,wind_spd2,wind_gust2,fuel_temp2,fuel_moist2,max_rad2,pk_wind_dir2,temp3,hum3,wind_spd3,wind_gust3,fuel_temp3,fuel_moist3,max_rad3,pk_wind_dir3,temp4,hum4,wind_spd4,wind_gust4,fuel_temp4,fuel_moist4,max_rad4,pk_wind_dir4,temp5,hum5,wind_spd5,wind_gust5,fuel_temp5,fuel_moist5,max_rad5,pk_wind_dir5
650,Yes,2018-10-13,0,Monterey,66.20975,34.291666666666664,2.23625,4.861249999999999,19.420833333333338,7.458333333333335,208.66666666666666,159.625,67.916,20.625,5.7754166666666675,11.027500000000002,20.138333333333332,5.799999999999998,178.54166666666666,49.958333333333336,59.62625000000002,70.95833333333333,2.160833333333334,6.537083333333334,15.717916666666673,15.787500000000001,114.375,170.70833333333334,55.83275,15.875,2.2899999999999996,6.4075,13.333333333333334,5.058333333333334,186.91666666666666,118.70833333333333,58.20875000000001,79.91666666666667,1.9954166666666666,5.997083333333333,15.972500000000009,14.250000000000002,175.29166666666666,172.54166666666666
652,Yes,2018-10-15,1,Butte,64.3745,33.791666666666664,2.9795833333333337,6.0179166666666655,18.588333333333335,7.774999999999999,205.29166666666666,143.08333333333334,61.916749999999986,13.916666666666666,8.7725,15.069583333333329,16.736666666666668,4.704166666666667,183.08333333333334,35.791666666666664,58.24850000000001,44.25,2.384583333333333,6.68625,14.491666666666662,11.850000000000003,142.41666666666666,126.95833333333333,62.459,12.5,1.3245833333333328,5.010416666666667,16.71375,4.3374999999999995,173.08333333333334,114.125,58.751000000000005,58.666666666666664,1.845416666666667,5.6429166666666655,15.230833333333331,15.862499999999997,174.08333333333334,172.70833333333334
667,Yes,2018-10-30,1,Butte,55.66625,51.791666666666664,1.6770833333333333,3.874166666666667,13.311666666666667,11.399999999999997,182.91666666666666,221.08333333333334,57.416000000000004,27.708333333333332,7.915833333333332,13.484583333333331,13.888749999999996,7.4750000000000005,137.29166666666666,35.458333333333336,60.16474999999999,35.333333333333336,1.2674999999999996,3.6504166666666698,15.32541666666667,5.358333333333333,102.54166666666667,223.20833333333334,56.249749999999985,36.416666666666664,0.9708333333333328,4.172916666666666,13.21875,6.8500000000000005,114.66666666666667,184.79166666666666,61.87399999999999,33.208333333333336,1.1383333333333328,3.4641666666666677,15.949583333333337,5.349999999999999,161.625,218.125
673,Yes,2018-11-05,3,Tehama,61.835000000000015,41.666666666666664,1.6412500000000003,3.5195833333333346,17.1525,5.770833333333333,164.0,192.875,60.959,27.125,5.2337500000000015,9.183749999999998,15.624583333333328,6.112500000000001,124.83333333333333,63.0,61.418000000000006,27.333333333333332,1.732916666666667,4.189583333333334,15.44083333333334,4.95,78.125,252.91666666666666,57.45800000000002,8.916666666666666,0.3187500000000001,2.1599999999999997,12.10666666666667,4.875000000000001,136.20833333333334,166.29166666666666,63.49924999999999,23.75,1.5099999999999998,3.4637500000000014,16.713750000000005,4.725,150.95833333333334,157.66666666666666
675,Yes,2018-11-07,1,Butte,63.874249999999996,10.625,2.32875,4.6554166666666665,17.800833333333333,4.433333333333334,166.29166666666666,142.75,54.998749999999994,19.833333333333332,3.8562500000000006,6.983750000000001,12.38416666666667,4.7375,119.79166666666667,76.91666666666667,56.66675,47.458333333333336,0.8770833333333331,2.6070833333333323,12.4775,7.625,54.041666666666664,157.625,46.33175,19.333333333333332,2.290833333333334,8.419166666666667,8.0325,4.175000000000001,137.0,113.79166666666667,58.08350000000001,47.041666666666664,1.397083333333333,3.0349999999999997,14.327916666666667,6.75,184.08333333333334,181.125
828,Yes,2019-04-09,2,Riverside,49.751000000000026,68.95833333333333,2.9991666666666674,5.550416666666666,10.718333333333334,15.816666666666663,303.875,261.8333333333333,49.70975000000001,84.125,1.21125,3.20375,11.088333333333333,20.729166666666664,161.0,327.9166666666667,47.499500000000005,56.916666666666664,3.1670833333333337,6.685833333333336,9.767916666666666,10.262499999999998,283.2083333333333,252.29166666666666,42.79024999999999,64.91666666666667,0.35625,2.365416666666667,5.810000000000001,12.458333333333334,101.91666666666667,202.375,48.91625,70.04166666666667,2.570416666666666,6.6312500000000005,10.809166666666668,13.5,282.7916666666667,210.79166666666666
849,Yes,2019-04-30,1,Butte,54.7925,59.666666666666664,2.608333333333333,4.991666666666666,14.281666666666666,12.995833333333335,330.875,170.41666666666666,60.208250000000014,70.33333333333333,1.6399999999999997,3.257499999999999,17.684583333333332,12.508333333333331,283.7916666666667,305.2916666666667,51.125750000000004,79.125,2.2895833333333337,5.588333333333334,13.195416666666668,15.58333333333333,312.0,270.3333333333333,57.001250000000006,32.041666666666664,0.3733333333333333,1.958333333333333,14.512916666666671,6.741666666666666,296.0416666666667,167.375,47.291750000000015,90.91666666666667,1.5099999999999996,4.190416666666666,9.93125,23.687500000000004,203.5,232.04166666666666
850,Yes,2019-05-01,1,Butte,58.334,42.083333333333336,2.587916666666666,5.104583333333333,16.065416666666668,8.570833333333333,336.75,166.20833333333334,65.8325,57.333333333333336,2.5520833333333326,4.899583333333334,20.25375,10.924999999999999,285.8333333333333,293.5833333333333,55.250750000000004,62.75,1.5279166666666664,3.9479166666666665,14.305416666666664,12.129166666666665,253.91666666666666,208.875,59.959250000000026,38.333333333333336,0.3554166666666667,1.9945833333333327,16.181250000000002,6.608333333333334,295.3333333333333,147.25,52.792249999999996,60.583333333333336,1.3604166666666666,3.408750000000001,12.4775,10.466666666666667,293.4583333333333,212.04166666666666
862,Yes,2019-05-13,4,San Diego,56.165,65.0,2.197916666666666,4.227500000000001,15.300833333333337,11.0,291.125,213.66666666666666,48.79325,79.95833333333333,2.1779166666666665,4.750000000000001,11.017916666666665,18.94583333333333,227.125,303.7083333333333,62.70875,61.583333333333336,1.7141666666666664,4.095833333333333,18.842083333333335,11.883333333333333,318.2083333333333,206.83333333333334,45.70925,94.66666666666667,1.9908333333333328,7.24541666666667,7.870000000000001,22.891666666666666,77.91666666666667,185.125,62.29175000000001,58.583333333333336,1.6579166666666667,3.52125,17.9625,11.366666666666665,344.6666666666667,201.125
867,Yes,2019-05-18,2,Riverside,49.37449999999999,79.0,2.814166666666667,5.9975,10.879583333333334,20.53333333333333,218.5,254.41666666666666,57.124249999999996,73.45833333333333,3.5762500000000013,7.059583333333333,15.600416666666666,16.045833333333338,257.3333333333333,291.7916666666667,48.167750000000005,78.79166666666667,2.681666666666666,6.126666666666668,9.653749999999997,14.308333333333335,143.29166666666666,276.1666666666667,43.750249999999994,84.70833333333333,1.285,4.52625,7.916666666666669,19.75416666666667,164.125,186.125,49.373749999999994,85.79166666666667,1.9920833333333328,5.829583333333335,10.855000000000002,15.629166666666665,181.04166666666666,243.91666666666666
869,Yes,2019-05-20,2,Riverside,46.457750000000004,91.16666666666667,3.576666666666666,8.3075,8.355,24.66666666666666,90.25,256.5,49.54025000000001,91.16666666666667,1.155833333333333,2.7929166666666667,10.532500000000002,23.066666666666666,104.0,305.375,45.375499999999995,90.08333333333333,4.097083333333335,8.45625,8.449583333333335,17.470833333333335,158.125,266.4583333333333,49.499750000000006,77.70833333333333,0.5045833333333333,3.371250000000002,11.042083333333336,20.162499999999998,244.91666666666666,269.7083333333333,44.96075000000001,91.08333333333333,2.849166666666667,7.879166666666667,8.125000000000002,19.741666666666664,143.20833333333334,225.45833333333334
